doc_id,termo_id,categoria,campo_cadastro,termo_pt,termo_en,abreviacao_pt,abreviacao_en,campo_texto,fonte_documental,idioma_declarado,idioma_detectado,data_extracao_glossario,data_processamento,glossario_versao,pipeline_versao,texto_bruto,texto_normalizado,tokens_lematizados,num_tokens_brutos,num_tokens_lematizados,entidades_detectadas,campos_extraidos,termos_relacionados,abrevs_encontradas,abrevs_expandidas,stopwords_removidas,unidade,norma_referencia,regra_normalizacao
CORP-0019,GE005,grandezas_eletricas,fator_potencia,Fator de Potência,Power Factor,fp,PF,observacoes_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Baixo fp aumenta corrente reativa e pode gerar multas na tarifa de energia. Recomenda-se correção por banco de capacitores.,Baixo Fator de Potência aumenta corrente reativa e pode gerar multas na tarifa de energia. Recomenda-se correção por banco de capacitores.,baixo | fator | de | potência | aumenta | corrente | reativa | pode | gerar | multas | tarifa | de | energia | recomenda-se | correção | banco | de | capacitor,18,18,,{},GE002,1,1,2,adimensional (0 a 1),IEC 60034-1 | NBR 17094,Normalizar: fp | FP | cos φ | pf | power factor | cosfi → fator_potencia. Ambiguidade: FP pode ser fator de potência ou frequência de pulso — verificar contexto.
CORP-0020,GE005,grandezas_eletricas,fator_potencia,Fator de Potência,Power Factor,fp,PF,ambiguidades,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,FP pode ser Fator de Potência ou Frequência de Pulso em contextos de inversores.,Fator de Potência pode ser Fator de Potência ou Frequência de Pulso em contextos de inversores.,fator | de | potência | pode | fator | de | potência | frequência | de | pulso | em | contextos | de | inversores.,14,14,,{},GE004 | GE005 | GE003,1,1,2,adimensional (0 a 1),IEC 60034-1 | NBR 17094,Normalizar: fp | FP | cos φ | pf | power factor | cosfi → fator_potencia. Ambiguidade: FP pode ser fator de potência ou frequência de pulso — verificar contexto.
CORP-0021,GE006,grandezas_eletricas,rendimento_percent,Rendimento,Efficiency,rend.,η (eta),definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Relação entre a potência mecânica fornecida no eixo e a potência elétrica absorvida da rede. Motores de alta eficiência (IE3/IE4) apresentam rendimento acima de 90%.,Relação entre a potência mecânica fornecida no Eixo e a potência elétrica absorvida da rede. Motores de alta Rendimento (IE3/IE4) apresentam rendimento acima de 90%.,relação | entre | potência | mecânica | fornecida | eixo | potência | elétrica | absorvida | rede | motor | de | alta | rendimento | IE3 | IE4 | apresentam | rendimento | acima | de | 90_,23,21,IE3 | IE4,{'classe_eficiencia': 'IE4'},CM006 | IS004 | GE006 | GE003,2,2,2,% (percentual),IEC 60034-30 | NBR 17094-3,"Normalizar: rend. | η | eta | eff | efficiency | rendimento → rendimento_percent. Regex: (?i)(rend\.?|[ηη]|eta|eff(?:iciency)?)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?"
CORP-0022,GE006,grandezas_eletricas,rendimento_percent,Rendimento,Efficiency,rend.,η (eta),definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,Ratio between the mechanical power delivered at the shaft and the electrical power absorbed from the grid. High-efficiency motors (IE3/IE4) present efficiency above 90%.,Ratio between the mechanical power delivered at the shaft and the electrical power absorbed from the grid. High-efficiency motors (IE3/IE4) present efficiency above 90%.,ratio | between | mechanical | power | deliver | shaft | and | electrical | power | absorb | from | grid | high-efficiency | motor | IE3 | IE4 | present | efficiency | above | 90_,25,20,IE3 | IE4,{'classe_eficiencia': 'IE4'},CM006 | IS004 | GE006 | GE003,0,0,5,% (percentual),IEC 60034-30 | NBR 17094-3,"Normalizar: rend. | η | eta | eff | efficiency | rendimento → rendimento_percent. Regex: (?i)(rend\.?|[ηη]|eta|eff(?:iciency)?)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?"
CORP-0023,GE006,grandezas_eletricas,rendimento_percent,Rendimento,Efficiency,rend.,η (eta),observacoes_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"Classes de eficiência: IE1 (padrão), IE2 (alto), IE3 (premium), IE4 (super premium).","Classes de Rendimento Classe de Eficiência (padrão), Classe de Eficiência (alto), Classe de Eficiência (premium), Classe de Eficiência (super premium).",classe | de | rendimento | classe | de | eficiência | padrão | classe | de | eficiência | alto | classe | de | eficiência | premium | classe | de | eficiência | super | premium,12,20,,{},IS004 | GE006,5,5,0,% (percentual),IEC 60034-30 | NBR 17094-3,"Normalizar: rend. | η | eta | eff | efficiency | rendimento → rendimento_percent. Regex: (?i)(rend\.?|[ηη]|eta|eff(?:iciency)?)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?"
CORP-0024,GE006,grandezas_eletricas,rendimento_percent,Rendimento,Efficiency,rend.,η (eta),ambiguidades,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,η pode representar rendimento (eficiência) ou viscosidade dinâmica em lubrificantes — contexto motor elétrico: η = rendimento energético (%).,η pode representar rendimento (eficiência) ou viscosidade dinâmica em lubrificantes — contexto motor elétrico: η = rendimento energético (%).,pode | representar | rendimento | (eficiência) | viscosidade | dinâmica | em | lubrificante | contexto | motor | elétrico: | rendimento | energético | (%).,15,14,,{},GE006,0,0,1,% (percentual),IEC 60034-30 | NBR 17094-3,"Normalizar: rend. | η | eta | eff | efficiency | rendimento → rendimento_percent. Regex: (?i)(rend\.?|[ηη]|eta|eff(?:iciency)?)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?"
CORP-0025,GE007,grandezas_eletricas,resistencia_isolamento_mohm,Resistência de Isolamento,Insulation Resistance,RI,IR,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Medida da resistência oferecida pelo sistema de isolamento do enrolamento à passagem de corrente de fuga. Valor mínimo aceitável: 1 MΩ/kV de tensão nominal (regra geral IEEE 43).,Medida da resistência oferecida pelo sistema de isolamento do enrolamento à passagem de corrente de fuga. Valor mínimo aceitável: 1 MΩ/kV de tensão nominal (regra geral IEEE 43).,medida | resistência | oferecida | pelo | sistema | de | isolamento | do | enrolamento | passagem | de | corrente | de | fuga | valor | mínimo | aceitável | mω | kv | de | tensão | nominal | regra | geral | ieee | 43,27,26,,{},GE002 | CM004 | GE001 | CM003,0,0,1,MΩ (Megaohm),IEEE 43 | IEC 60034-27,"Normalizar: Riso | R.iso | IR | RI | insulation resistance | resist. isolamento → resistencia_isolamento_mohm. Regex: (?i)(r\.?iso|r_iso|ir|ri|insul\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*(m?[oΩ])"
CORP-0026,GE007,grandezas_eletricas,resistencia_isolamento_mohm,Resistência de Isolamento,Insulation Resistance,RI,IR,definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,Measurement of resistance offered by the winding insulation system to leakage current flow. Minimum acceptable value: 1 MΩ/kV of rated voltage (general IEEE 43 rule).,Measurement of resistance offered by the winding insulation system to leakage current flow. Minimum acceptable value: 1 MΩ/kV of rated voltage (general IEEE 43 rule).,measurement | resistance | offer | winding | insulation | system | leakage | current | flow | minimum | acceptable | value | mω | kv | rat | voltage | general | ieee | 43 | rule,25,20,,{},TN001 | GE002 | CM004 | GE001,0,0,5,MΩ (Megaohm),IEEE 43 | IEC 60034-27,"Normalizar: Riso | R.iso | IR | RI | insulation resistance | resist. isolamento → resistencia_isolamento_mohm. Regex: (?i)(r\.?iso|r_iso|ir|ri|insul\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*(m?[oΩ])"
CORP-0027,GE007,grandezas_eletricas,resistencia_isolamento_mohm,Resistência de Isolamento,Insulation Resistance,RI,IR,observacoes_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Medição realizada com megôhmetro (megger). Temperatura e umidade influenciam significativamente o resultado.,Medição realizada com megôhmetro (megger). Temperatura e umidade influenciam significativamente o resultado.,medição | realizada | megôhmetro | megger | temperatura | umidade | influenciam | significativamente | resultado,10,9,,{},GM005,0,0,1,MΩ (Megaohm),IEEE 43 | IEC 60034-27,"Normalizar: Riso | R.iso | IR | RI | insulation resistance | resist. isolamento → resistencia_isolamento_mohm. Regex: (?i)(r\.?iso|r_iso|ir|ri|insul\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*(m?[oΩ])"
CORP-0028,GE007,grandezas_eletricas,resistencia_isolamento_mohm,Resistência de Isolamento,Insulation Resistance,RI,IR,ambiguidades,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"IR (Insulation Resistance) pode ser confundido com ""infravermelho"" (infrared) em contextos de termografia — desambiguar pelo campo técnico: IR + MΩ = resistência de isolamento.","Resistência de Isolamento (Insulation Resistance) pode ser confundido com ""infravermelho"" (infrared) em contextos de termografia — desambiguar pelo campo técnico: Resistência de Isolamento + MΩ = resistência de isolamento.","resistência | de | isolamento | (insulation | resistance) | pode | confundido | ""infravermelho"" | (infrared) | em | contextos | de | termografia | desambiguar | pelo | campo | técnico: | resistência | de | isolamento | mω | resistência | de | isolamento.",22,24,,{},MP003 | GE007,2,2,2,MΩ (Megaohm),IEEE 43 | IEC 60034-27,"Normalizar: Riso | R.iso | IR | RI | insulation resistance | resist. isolamento → resistencia_isolamento_mohm. Regex: (?i)(r\.?iso|r_iso|ir|ri|insul\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*(m?[oΩ])"
CORP-0029,GE008,grandezas_eletricas,indice_polarizacao,Índice de Polarização,Polarization Index,PI,PI,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Razão entre a resistência de isolamento medida em 10 minutos e a medida em 1 minuto (PI = RI10min / RI1min). Indica a qualidade e integridade do sistema de isolamento.,Razão entre a resistência de isolamento medida em 10 minutos e a medida em 1 minuto (PI = RI10min / RI1min). Indica a qualidade e integridade do sistema de isolamento.,razão | entre | resistência | de | isolamento | medida | em | 10 | minutos | medida | em | minuto | PI | ri10min | ri1min | indica | qualidade | integridade | do | sistema | de | isolamento,22,22,,{},GE007,0,0,0,adimensional,IEEE 43,Normalizar: PI | IP | P.I. | polarization index | índice polarização → indice_polarizacao. Regex: (?i)(p\.?i\.?|polarization\s*index|índice\s*de\s*polariza)
