id,categoria,termo_pt,termo_en,abreviacao_pt,abreviacao_en,sinonimos_pt,sinonimos_en,unidade,definicao_pt,definicao_en,valores_tipicos,norma_referencia,campo_cadastro,observacoes_pt,observacoes_en,data_extracao,idioma,fonte_documental,regra_normalizacao,ambiguidades,relacao_pai,relacoes_filhos,relacoes_relacionados
GM001,grandezas_mecanicas,Rotação,Speed / RPM,rot.,n,velocidade de rotação | RPM | velocidade angular,rotational speed | shaft speed | angular velocity,rpm (rotações por minuto),Número de rotações completas do eixo do motor por minuto. A velocidade síncrona (ns) é determinada pela frequência e pelo número de polos. A velocidade nominal inclui o escorregamento.,Number of complete shaft rotations per minute. Synchronous speed (ns) is determined by frequency and number of poles. Rated speed includes slip.,3550 rpm (4p/60Hz) | 1770 rpm (4p/60Hz) | 2950 rpm (2p/50Hz) | 1450 rpm (4p/50Hz),IEC 60034-1 | NBR 17094,velocidade_nominal_rpm,"Rotação nominal é sempre inferior à velocidade síncrona (escorregamento ~1-5%). Valores reais: 3550, 1770, 1180, 890 rpm. Velocidade síncrona teórica: 3600, 1800, 1200, 900 rpm (60Hz). Ver PO007.","Rated speed is always below synchronous speed (slip ~1-5%). Real values: 3550, 1770, 1180, 890 rpm. Theoretical synchronous speed: 3600, 1800, 1200, 900 rpm (60Hz). See PO007.",2026-04-29,pt-BR / en-US,norma_tecnica,Normalizar: rot. | rpm | r/min | min-1 | RPM | rotação | speed → velocidade_nominal_rpm. Regex: (?i)(rot\.?|rpm|r\/min|min[-−]1)\s*[:=]?\s*(\d+),rot. pode ser Rotação (GM001) ou Rotor (CM002) — desambiguar pelo contexto: grandeza com unidade rpm = rotação; componente = rotor.,,,GM002 | GM003 | TF005
GM002,grandezas_mecanicas,Torque,Torque,Tq,T,conjugado | momento de força | momento torçor,twisting moment | shaft torque | turning moment,N·m (Newton-metro),Força de rotação gerada no eixo do motor. O torque nominal (Tn) é o torque desenvolvido em plena carga à velocidade nominal. O torque de partida e o torque máximo são parâmetros críticos para dimensionamento.,Rotational force generated at the motor shaft. Rated torque (Tn) is the torque developed at full load at rated speed. Starting torque and maximum torque are critical sizing parameters.,Tn = (9550 × P[kW]) / n[rpm],IEC 60034-1 | NEMA MG1,torque_nominal_nm,Torque de partida (T_start) tipicamente 150–250% do Tn; torque máximo (T_max) tipicamente 200–300% do Tn.,Starting torque (T_start) typically 150–250% of Tn; maximum torque (T_max) typically 200–300% of Tn.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: torq. | Tn | Nm | torque | conjugado → torque_nominal_nm. Regex: (?i)(torq\.?|tn?|torque|conjugado)\s*[:=]?\s*(\d+[\.,]?\d*)\s*n[\.,]?m","T pode ser Torque (GM002) ou Temperatura (GM005) — no contexto de motores, T seguido de Nm = torque; T seguido de °C = temperatura.",,,GM001 | GM005 | TF005
GM003,grandezas_mecanicas,Escorregamento,Slip,s,s,deslizamento,rotor slip,%,"Diferença percentual entre a velocidade síncrona e a velocidade real do rotor. Em motores de indução, o escorregamento em plena carga é tipicamente de 1% a 5%.","Percentage difference between synchronous speed and actual rotor speed. In induction motors, full-load slip is typically 1% to 5%.",1–5% em plena carga,IEC 60034-1,escorregamento_percent,s = (ns - n) / ns × 100%. Escorregamento elevado indica sobrecarga ou problemas no rotor.,s = (ns - n) / ns × 100%. High slip indicates overload or rotor problems.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: s | slip | escorr. | escorregamento → escorregamento_percent. Regex: (?i)(\bs\b|slip|escorr\.?)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?",s pode ser escorregamento (%) ou segundo (unidade de tempo) — desambiguar por unidade associada: s sem unidade ou com % = escorregamento; s após valor numérico de tempo = segundo.,,,GM001 | GM002 | TF003
GM004,grandezas_mecanicas,Vibração,Vibration,vib.,vib.,nível de vibração | amplitude de vibração,vibration level | vibration amplitude,mm/s (RMS) ou µm (pico),"Oscilação mecânica do motor em torno de sua posição de equilíbrio. Monitorada por acelerômetros, indica desequilíbrio, desalinhamento, problemas em rolamentos ou ressonância estrutural.","Mechanical oscillation of the motor around its equilibrium position. Monitored by accelerometers, it indicates unbalance, misalignment, bearing problems, or structural resonance.","Zona A: < 1,8 mm/s (novo) | Zona B: 1,8–4,5 mm/s (aceitável) | Zona C: 4,5–11,2 mm/s (alarme) | Zona D: > 11,2 mm/s (crítico)",ISO 10816-3 | ABNT NBR ISO 10816,vibracao_rms_mms,A análise espectral (FFT) da vibração permite identificar a frequência de falha e o componente defeituoso.,Spectral analysis (FFT) of vibration allows identifying the fault frequency and the defective component.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: vib. | vibr. | vibração | vibration | acc | vel. vib → vibracao_rms_mms. Regex: (?i)(vib\.?r?\.?|vibr?a[çc]\.?|vibrat\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*(mm/s|m/s²|g)?","Vibração pode ser medida como velocidade RMS (mm/s — ISO 20816), aceleração RMS (m/s²) ou deslocamento pico-a-pico (μm) — registrar unidade obrigatoriamente; campo padrão usa mm/s.",,,GM001 | CM003
GM005,grandezas_mecanicas,Temperatura,Temperature,temp.,θ,temperatura de operação | temperatura de enrolamento,operating temperature | winding temperature | bearing temperature,°C (grau Celsius) ou K (Kelvin),"Temperatura de operação do motor medida no enrolamento por termistor ou PT100. Temperatura máxima admissível: Classe A=105°C, B=130°C, F=155°C, H=180°C. A elevação de temperatura (ΔT) é a diferença entre a temperatura de enrolamento e a ambiente de referência (40°C).","Motor winding operating temperature measured by thermistor or PT100. Maximum allowable temperature: Class A=105°C, B=130°C, F=155°C, H=180°C. Temperature rise (ΔT) is the difference between winding temperature and reference ambient (40°C).",Classe B: máx.130°C | Classe F: máx.155°C | Classe H: máx.180°C,IEC 60085 | IEC 60034-1,temperatura_max_operacao_c,Regra prática: aumento de 10°C na temperatura de operação reduz em 50% a vida útil do isolamento.,Rule of thumb: a 10°C increase in operating temperature reduces insulation service life by 50%.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: T | temp. | temperatura | temperature | θ | theta → temperatura_max_operacao_c. Registrar em °C. Distinguir por sufixo: _amb (ambiente), _env (enrolamento), _rol (rolamento), _carcaca. Regex: (?i)(temp\.?|θ|theta|temperature)\s*[:=]?\s*(\d+[.,]?\d*)\s*°?\s*[cC]?","T pode ser Temperatura (GM005) ou Torque (GM002) — ver GM002. Símbolo canônico: θ para temperatura (IEC 60034), T para torque.",,,GM001 | GM002
GM006,grandezas_mecanicas,Momento de Inércia,Moment of Inertia,J,J,inércia do rotor | GD²,rotor inertia | flywheel effect,kg·m²,"Medida da resistência do rotor à mudança de velocidade angular. Influencia o tempo de partida, a corrente de partida e a taxa de aceleração do motor.","Measure of the rotor's resistance to change in angular velocity. Influences starting time, starting current, and motor acceleration rate.",Variável conforme frame e potência,IEC 60034-12,momento_inercia_kgm2,"Importante para partidas frequentes e aplicações com alta inércia de carga (ventiladores, compressores).","Important for frequent starts and applications with high load inertia (fans, compressors).",2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: J | GD² | inercia | inertia | momento de inércia → momento_inercia_kgm2. Regex: (?i)(\bj\b|gd[²2]|inérc\.?|inert\.?|mom\.?\s*in)\s*[:=]?\s*(\d+[.,]?\d*)",GD² (unidade kgm²) é convenção mecânica antiga; J = GD²/4. Sistemas em SI registram J (kg·m²). Converter se fonte usa GD²: J = GD²/4.,,,GM001 | TF005 | TF006
CM001,componentes_motor,Estator,Stator,estat.,stator,núcleo estatórico | parte fixa,stator core | stationary part,-,"Parte fixa do motor elétrico. Composto pelo núcleo de chapas de aço silício laminado e pelos enrolamentos de cobre que, ao serem energizados, criam o campo magnético rotativo.","Fixed part of the electric motor. Composed of a laminated silicon steel core and copper windings that, when energized, create the rotating magnetic field.",Número de ranhuras estator: 24 a 72 (conforme polos e carcaça) | Diâmetro interno: 63 mm (carc. 63) a 600+ mm (carc. 355) | Material núcleo: aço silício M270-35A | M330-35A | Isolamento bobinas: Classe F (155°C) | Classe H (180°C) | Enchimento de ranhura: 70% a 85% (fator de preenchimento),IEC 60034-1,componente_estator,"Falhas comuns: curto-circuito entre espiras, curto à terra, circuito aberto, desequilíbrio de enrolamentos.","Common faults: inter-turn short circuit, ground fault, open circuit, winding imbalance.",2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: estator | stator | est. | componente_estator → componente_estator. Valor booleano ou descritivo; normalizar strings: ""stator"" → ""estator"".","Sem ambiguidade técnica relevante; ""estator"" é termo unívoco no domínio de motores elétricos.",,CM002,CM003 | IS001 | TF002
CM002,componentes_motor,Rotor,Rotor,rtr.,rotor,parte girante | núcleo rotórico,rotating part | rotor core,-,"Parte giratória do motor. Em motores de indução trifásicos, o tipo mais comum é o rotor gaiola de esquilo (alumínio fundido), que interage com o campo magnético do estator para produzir torque.","Rotating part of the motor. In three-phase induction motors, the most common type is the squirrel cage rotor (die-cast aluminum), which interacts with the stator magnetic field to produce torque.","Barras gaiola: alumínio fundido (até 250 kW) | cobre (> 250 kW ou alto rendimento) | Diâmetro externo rotor: varia conforme carcaça (< diâmetro estator por entreferro) | Entreferro nominal: 0,2 mm a 1,5 mm (aumenta com carcaça) | Tipo: gaiola simples | gaiola dupla | barras profundas | rotor bobinado | Balanceamento: Grau G2.5 ou G1.0 (ISO 1940-1)",IEC 60034-1,componente_rotor,"Falhas: barra de rotor quebrada, assimetria do núcleo, excentricidade estática ou dinâmica.","Faults: broken rotor bar, core asymmetry, static or dynamic eccentricity.",2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: rotor | rot. | componente_rotor → componente_rotor. Subtipos: gaiola_esquilo | rotor_bobinado | rotor_ímã_permanente. Normalizar inglês ""rotor"" → ""rotor"".","""Rotor"" em contexto de bombas centrífugas é o impelidor — contexto motor elétrico: rotor = parte girante eletromecânica do motor.",CM001,,IS001 | TF009 | TF010
CM003,componentes_motor,Rolamento,Bearing,rol.,brg.,mancal de rolamento | chumaceira,ball bearing | roller bearing | bearing assembly,-,"Elemento mecânico que suporta o eixo do rotor e permite sua rotação com mínimo atrito. Pode ser de esferas, rolos, agulhas ou cônicas. É a causa mais frequente de falha em motores industriais (>40% das falhas).","Mechanical element that supports the rotor shaft and allows its rotation with minimum friction. Can be ball, roller, needle, or tapered. It is the most frequent cause of failure in industrial motors (>40% of failures).",Tipos: rígido (6200/6300) | autocompensador (1200/2200) | cilíndrico (NU/NJ) | Diâmetro interno: 12 mm (carcaça 63) a 150+ mm (carcaça 355) | Vida L10 mínima: 20.000 h (aplicação industrial padrão ISO 281) | Intervalo relubrificação: 2.000 h a 8.000 h (conforme rotação e carga) | Temperatura máx operação: 70°C (graxa padrão) | 120°C (graxa especial),ISO 15243 | ISO 281,tipo_rolamento_de_re_en,"Identificado pela designação ISO (ex.: 6309-2Z). Diagnóstico por análise de vibração (BPFO, BPFI, BSF, FTF).","Identified by ISO designation (e.g., 6309-2Z). Diagnosis via vibration analysis (BPFO, BPFI, BSF, FTF).",2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: rolamento | bearing | mancal | roll. → tipo_rolamento_de_re_en. Tipos aceitos: esfera | cilindrico | conico | autocompensador | agulha. Manter código fabricante se disponível.,"""Mancal"" pode ser rolamento ou mancal deslizante (sleeve bearing) — distinguir: rolamento = bearing (elemento rolante); mancal deslizante = sleeve/plain bearing (sem elemento rolante).",,,CM001 | GM004 | TF003 | TF004
CM004,componentes_motor,Enrolamento,Winding,enrol.,wdg.,bobinagem | embobinamento,coil winding | armature winding,-,Conjunto de condutores de cobre (ou alumínio) isolados e dispostos nas ranhuras do núcleo. Responsável pela conversão eletromecânica de energia. O isolamento do enrolamento é classificado por classe térmica.,Set of insulated copper (or aluminum) conductors arranged in core slots. Responsible for electromechanical energy conversion. Winding insulation is classified by thermal class.,"Condutores: cobre esmaltado 99,9% (UNS C11000) | alumínio (motores econômicos) | Fio: redondo 0,3 mm a 3,5 mm Ø | retangular em motores > 200 kW | Isolação fio: classe B | F | H (verniz poliamida-imida ou poliimida) | Impregnação: verniz VPI (Vacuum Pressure Impregnation) ou gotejamento | Resistência CC a 20°C: calculada por R = ρL/A (ρ_Cu = 1,72×10⁻⁸ Ω·m)",IEC 60085 | IEC 60034-1,classe_termica_isolamento,"Classes térmicas: A (105°C), E (120°C), B (130°C), F (155°C), H (180°C), N (200°C), R (220°C).","Thermal classes: A (105°C), E (120°C), B (130°C), F (155°C), H (180°C), N (200°C), R (220°C).",2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: enrolamento | winding | bobina | coil → classe_termica_isolamento + tipo_enrolamento. Tipos: trifasico_distribuido | concentrado | monofasico. Classe térmica: A|E|B|F|H.,"""Enrolamento"" pode referir-se ao estator ou ao rotor — qualificar: enrolamento_estator (fixo) vs. enrolamento_rotor (apenas em motores de rotor bobinado).",,,CM003 | TF001 | SI001
CM005,componentes_motor,Carcaça,Frame / Housing,carc.,fr.,corpo do motor | invólucro,motor frame | enclosure,-,"Estrutura externa do motor que abriga todos os componentes internos, dissipa o calor gerado e protege o motor contra o ambiente. A carcaça IEC é identificada por número que indica a altura do eixo em mm (ex.: 132M).","External structure of the motor that houses all internal components, dissipates generated heat, and protects the motor against the environment. The IEC frame is identified by a number indicating shaft center height in mm (e.g., 132M).",56 | 63 | 71 | 80 | 90 | 100 | 112 | 132 | 160 | 180 | 200 | 225 | 250 | 280 | 315 | 355,IEC 60072-1 | NEMA MG1,carcaca_frame,Frame IEC indica altura do eixo. Frame NEMA usa numeração diferente. Ex.: IEC 132 ≈ NEMA 254T.,IEC frame indicates shaft height. NEMA frame uses different numbering. E.g.: IEC 132 ≈ NEMA 254T.,2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: carcaça | frame | frame_size | carcaca | housing → carcaca_frame. Padrão IEC: número inteiro (ex.: 132, 160, 200); padrão NEMA: número + letra (ex.: 182T, 256T). Normalizar separador: ""-"" ou ""/"" → sem separador.","""Frame"" pode ser frame IEC (dimensional) ou frame de comunicação de dados (ex.: Modbus frame) — contexto motor: frame = carcaça dimensional.",,,CM001 | IS001 | IS002
CM006,componentes_motor,Eixo,Shaft,eixo,shft.,eixo de saída | eixo do rotor,output shaft | rotor shaft | drive shaft,-,"Elemento mecânico cilíndrico que transmite o torque do rotor para a carga acoplada. Dimensionado para suportar cargas radiais, axiais e de torção.","Cylindrical mechanical element that transmits torque from the rotor to the coupled load. Designed to withstand radial, axial, and torsional loads.","Material: aço carbono SAE 1045 (aplicação geral) | aço inox 316 (ambientes corrosivos) | Diâmetro extremidade de eixo: 11 mm (carcaça 63) a 105 mm (carcaça 355) — IEC 60072-1 | Dureza superficial: HB 200 a 230 (normalizado) | HRC 50-55 (cementado) | Concentricidade: runout máx 0,025 mm (carcaça ≤ 200) | 0,04 mm (> 200) — ISO 1940 | Chaveta: DIN 6885 | ABNT NBR 6402",IEC 60072-1,diametro_eixo_mm,O diâmetro e comprimento do eixo são normalizados pela IEC 60072-1 para cada carcaça.,Shaft diameter and length are standardized by IEC 60072-1 for each frame size.,2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: eixo | shaft | shft. → diametro_eixo_mm. Registrar diâmetro em mm; se valor contém ""mm"" ou ""in"", converter para mm (1 in = 25.4 mm).","""Eixo"" pode ser eixo mecânico (shaft) ou eixo de um gráfico — contexto componente motor: eixo = shaft metálico rotativo.",,,CM003 | TF006
